序号,建设项目,工程数量,单位,指标(元),Table Name
一,设备建设,,,,1.1.9 主要经济指标表
（一）,基础设施建设,,,,1.1.9 主要经济指标表
1,蓄水池（储水罐）（含土建工程及安装）,264,座,160000,1.1.9 主要经济指标表
2,森林消防水鹤（含土建工程及安装）,11,座,40000,1.1.9 主要经济指标表
（二）,防灭火装备建设,,,,1.1.9 主要经济指标表
1,专用车辆,,,,1.1.9 主要经济指标表
1.1,小型消防水车,36,辆,320000,1.1.9 主要经济指标表
1.2,机具车,13,辆,200000,1.1.9 主要经济指标表
1.3,全地形森林消防泵浦车,3,辆,180000,1.1.9 主要经济指标表
2,以水灭火装备,,,,1.1.9 主要经济指标表
2.1,风力灭火机,442,台,6000,1.1.9 主要经济指标表
2.2,涡轮风水灭火机,230,台,68000,1.1.9 主要经济指标表
2.3,高压细水雾灭火机,414,台,15000,1.1.9 主要经济指标表
2.4,高压便携森林消防泵,137,台,65000,1.1.9 主要经济指标表
2.5,便携式水泵,89,台,40000,1.1.9 主要经济指标表
2.6,油锯,390,台,4000,1.1.9 主要经济指标表
2.7,割灌机,295,台,3000,1.1.9 主要经济指标表
2.8,移动式发电机组,49,台,95000,1.1.9 主要经济指标表
