单位,合计,乔木林地,灌木林地,,,疏林地,其他林地,,,,,,,Table Name
,,,小计,"国家特别规
定灌木林地","其他灌木林
地",,小计,"未成林造林
地","未成林封育
地",苗圃地,采伐迹地,火烧迹地,其他,单位：公顷
合计,2213527.21,1493745.98,398640.63,170667.32,227973.31,18400.09,302740.51,46533.31,,7568.17,2517.56,339.91,245781.56,单位：公顷
遵化市,24834.56,15474.34,1833.94,,1833.94,215.3,7310.98,839.81,,2674.23,98.78,6.35,3691.81,单位：公顷
涞水县,95646.57,51433.4,36716.99,,36716.99,287.28,7208.9,847.6,,311.11,47.24,,6002.95,单位：公顷
怀来县,74273.6,26232.94,30329.5,27347.14,2982.36,252.73,17458.43,1982.84,,461.22,1.32,,15013.05,单位：公顷
涿鹿县,138932.37,71389.24,37672.1,25712.27,11959.83,497.56,29373.47,3581.98,,718.78,2.75,3.5,25066.46,单位：公顷
赤城县,314682.55,178599.68,55452.44,32353.61,23098.83,3007.37,77623.06,14058.01,,875.05,100.74,,62589.26,单位：公顷
承德县,268406.3,202150.6,38280.46,,38280.46,1639.5,26335.74,1405.88,,397.08,1612.63,74.19,22845.96,单位：公顷
兴隆县,213451.97,162177.24,45048.32,,45048.32,688.06,5538.35,731.76,,30.76,25.94,0.4,4749.49,单位：公顷
滦平县,202775.41,141311.79,40707.36,,40707.36,974.45,19781.81,4867.53,,391.19,48.96,27.33,14446.8,单位：公顷
丰宁满族自治县,589706.24,381916.24,95969.44,74572.57,21396.87,7916.54,103904.02,10199.32,,1521.58,579.2,228.14,91375.78,单位：公顷
雾灵山保护区,14023.04,12465.83,1527.77,,1527.77,29.44,,,,,,,,单位：公顷
木兰林场,98337.55,90543.56,998.98,,998.98,1738.75,5056.26,4958.53,,97.73,,,,单位：公顷
丰宁国有林场管理处,73646.67,63586.67,8880,8880,,1133.33,46.67,,,46.67,,,,单位：公顷
塞罕坝机械林场,79701.78,74777.45,1801.73,1801.73,,19.78,3102.82,3060.05,,42.77,,,,单位：公顷
小五台山保护区,25108.6,21687,3421.6,,3421.6,,,,,,,,,单位：公顷
