序号,地点,经度,纬度,Table Name
1,北辛堡天皇山,115.46,40.28,怀来县-01
2,鸡鸣驿,115.3138,40.4552,怀来县-02
3,鸡鸣驿盆儿窑,115.3307,40.4739,怀来县-03
4,瑞云观镇边城,115.492,40.1121,怀来县-04
5,瑞云观横岭,115.508,40.1259,怀来县-05
6,桑园后郝窑,115.5315,40.3462,怀来县-06
7,孙庄子麻黄峪村村西沟,115.5242,40.0911,怀来县-07
8,孙庄子芦青岭村村南路旁,115.5471,40.1806,怀来县-08
9,东八里下八里村,115.4654,40.4618,怀来县-09
10,东八里永丰堡村,115.4601,40.4447,怀来县-10
11,东八里东八里村,115.4699,40.4208,怀来县-11
12,东花园陈家堡村南口,115.9267,40.2835,怀来县-12
13,东花园姚家河村大梁,115.88,40.2813,怀来县-13
14,东花园辛房村西沟,115.8779,40.2602,怀来县-14
15,东花园杨庄子村西湾,115.8878,40.3057,怀来县-15
16,东花园三泉井至陈家堡,115.9156,40.3212,怀来县-16
17,新保安光明街村,115.4041,40.4549,怀来县-17
18,新保安八宝山煤矿,115.419,40.4782,怀来县-18
19,存瑞镇东洪站村,115.6272,40.5142,怀来县-19
20,存瑞镇石盘口村,115.6586,40.455,怀来县-20
21,王家楼东庄子村,115.422,40.34,怀来县-21
22,王家楼金家口村,115.415,40.303,怀来县-22
23,土木村北山,115.6102,40.3888,怀来县-23
24,土木宗家洼北山,115.531,40.4327,怀来县-24
25,官厅林场白龙潭林区,115.70585,40.472834,怀来县-25
26,官厅林场水口山林区,115.509764,40.516919,怀来县-26
27,官厅镇幽州,115.676422,40.147047,怀来县-27
28,官厅镇施庄,115.613734,40.242577,怀来县-28
29,小南辛堡外井沟村,115.44,40.13,怀来县-29
30,小南辛堡庙港,115.45,40.14,怀来县-30
