序号,工程或费用名称,主要技术参数指标,Table Name
1,专用车辆,,表5-10 设备选型主要技术参数一览表
1.1,小型消防水车,"一、车辆参数
1.车体外廓尺寸（长×宽×高）（mm）（±100mm）：
5910×1868×2157；
2.最大允许总质量（kg）：3910～3930；
3.车辆底盘：国 VI 标，燃油动力，功率≥100 千
瓦，乘员5人（含驾驶员），液罐容量（水）＞1500
千克；
4.罐体材质：不锈钢 304板材（厚度≥2 毫米）；
5.水车厢体：航空铝材；",表5-10 设备选型主要技术参数一览表
1.2,机具车,"1.燃油种类：汽油
2.排放依据标准：GB18352.6-2016 国Ⅵ
3.车辆尺寸（mm）：5340×1940×1860
4.排量和功率（ml/kw）：1981/175
5.货箱尺寸（mm）：1520×1580×440",表5-10 设备选型主要技术参数一览表
1.3,轮式森林消防泵浦车,"1.燃油种类：柴油
2.最高时速（km/h）：120
3.排放依据标准：GB17691-2018 国Ⅵ
4.车辆尺寸（mm）：5520×1950×2070
5.水罐容积(t)：1.05
6.水枪射程(m)：42",表5-10 设备选型主要技术参数一览表
2,以水灭火装备,,表5-10 设备选型主要技术参数一览表
2.1,风力灭火机,"1.发动机类型:单缸风冷二冲程发动机；
2.发动机功率和转速（kw/r/min）：4.26/7800；
3.排量（cc）： 79.9；
4.发动机最大扭矩（N.m）： 7.5；
5.常温启动时间（s）： 5；
6.有效风力灭火距离（m）： 2.25；
7.一次性加油连续工作时间（min）： 112；
8.出口风量（m3/s）：0.49，最大风量0.56；
9.风速95，最大风速118；
10.耳旁噪音【dB（A）】：95；
11.手感振动（m/s2）：1.75；
12.配备便携式加油器。",表5-10 设备选型主要技术参数一览表
