技术参数,技术指标,Table Name
一体温湿压传感器,"测量范围：温度-50～80℃
湿度0～100%RH
压力500～1100hpa
准 确 度：温度±0.2℃
湿度±3%RH
压力±0.3 hPa
工作环境：温度-40℃～50℃
湿度≤100%RH
压力-50～80℃",表5-12 火险监测站关键参数表
风速传感器,"量程：0～70m/s
分辨率：0.1m/s
准确度：±(0.3+0.03V)m/s
起动风速：≤0.5m/s",表5-12 火险监测站关键参数表
风向传感器,"量程：0～360°
分辨率：1°
准确度：±3°
起动风速：≤0.5m/s",表5-12 火险监测站关键参数表
雨量传感器,"量程：0～999.9mm
分辩率0.2mm
准确度：±4%
降雨强度：0～4mm/min",表5-12 火险监测站关键参数表
总辐射传感器（日照时数）,"量程：0～2000W／m2
分辨率：1W／m2
准确度：±5％",表5-12 火险监测站关键参数表
可燃物湿度监测传感器,"量程：0～100%
分辨率：1%
准确度：±2%",表5-12 火险监测站关键参数表
10h可燃物湿度棒,"量程：0～70%
准确度：±1.25%",表5-12 火险监测站关键参数表
